first_retained_checkpoint,role,unique_objects,canonical_bytes,snapshot,status,provenance
0,FileState,2,212,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,directory_map_leaf,1,44,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,directory_state,1,98,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,extent_leaf,2,168,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,inode_record,1,98,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,inode_table_leaf,1,108,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,metadata_map_leaf,1,143,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
0,payload_chunk,2,58,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,FileState,263,27878,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,directory_map_leaf,84,20164,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,directory_state,84,8232,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,extent_leaf,263,23012,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,inode_record,346,33908,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,inode_table_branch,1,364,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,inode_table_leaf,5,23260,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,metadata_map_leaf,3,429,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,payload_chunk,286,1495359,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
1,symlink_state,2,80,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,FileState,161,17066,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,directory_map_leaf,18,7791,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,directory_state,18,1764,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,extent_leaf,161,14844,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,inode_record,179,17542,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,inode_table_branch,1,364,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,inode_table_leaf,5,25756,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
2,payload_chunk,189,1356519,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,FileState,165,17490,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,directory_map_leaf,34,12443,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,directory_state,34,3332,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,extent_leaf,165,15220,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,inode_record,199,19502,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,inode_table_branch,1,428,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,inode_table_leaf,6,31112,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
3,payload_chunk,186,1513393,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,FileState,284,30104,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,directory_map_leaf,114,26622,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,directory_state,114,11172,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,extent_leaf,284,25256,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,inode_record,398,39004,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,inode_table_branch,1,428,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,inode_table_leaf,6,39176,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
4,payload_chunk,309,2139260,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,FileState,253,26818,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,directory_map_leaf,40,12842,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,directory_state,40,3920,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,extent_leaf,253,23012,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,inode_record,293,28714,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,inode_table_branch,1,556,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,inode_table_leaf,8,45536,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
5,payload_chunk,283,1838740,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,FileState,31,3286,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,directory_map_leaf,1,1481,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,directory_state,1,98,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,extent_leaf,31,3044,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,inode_record,32,3136,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,inode_table_branch,1,556,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,inode_table_leaf,8,45664,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
6,payload_chunk,37,406015,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,FileState,210,22260,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,directory_map_leaf,64,17894,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,directory_state,64,6272,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,extent_leaf,210,19800,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,inode_record,274,26852,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,inode_table_branch,1,684,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,inode_table_leaf,10,57400,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
7,payload_chunk,249,2111149,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,FileState,301,31906,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,directory_map_leaf,58,22435,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,directory_state,58,5684,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,extent_leaf,301,28204,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,inode_record,359,35182,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,inode_table_branch,1,812,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,inode_table_leaf,12,68688,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,namespace_root,1,121,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
8,payload_chunk,351,3113992,post-verification retained Store,derived from authenticated measured inventory,roles-inventory.sqlite; exact product canonical/reference/pack decoders
